source_url,first_status,first_location,final_status,final_url
https://iceberg.spb.ru/trikotazhnie-polotna/400/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/401/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/403/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/410/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/411/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/412/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/413/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/420/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/421/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/422/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/430/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/440-2/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/450/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/460/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/480/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/481/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
https://iceberg.spb.ru/trikotazhnie-polotna/500/,301,https://biflex.tkany.com/,200,https://biflex.tkany.com/
